gameid,period,clock,h_pts,a_pts,team,playerid,player,type,subtype,result,x,y,dist,desc,season,outcome,lag1,lag2,lag3
20900015,2,PT09M49.00S,0.0,0.0,GSW,201939,S. Curry,Missed Shot,Jump Shot,Missed,-172,82,19,MISS Curry 19' Jump Shot,2010,0,0,1,0
20900015,2,PT02M19.00S,0.0,0.0,GSW,201939,S. Curry,Missed Shot,Jump Shot,Missed,-68,148,16,MISS Curry 16' Jump Shot,2010,0,0,0,1
20900015,2,PT00M34.10S,0.0,0.0,GSW,201939,S. Curry,Missed Shot,Jump Shot,Missed,39,15,4,MISS Curry 4' Jump Shot,2010,0,0,0,0
20900015,4,PT10M26.00S,83.0,90.0,GSW,201939,S. Curry,Made Shot,Pullup Jump shot,Made,-64,149,16,Curry 16' Pullup Jump Shot (4 PTS),2010,1,0,0,0
20900015,4,PT06M31.00S,95.0,99.0,GSW,201939,S. Curry,Made Shot,Pullup Jump shot,Made,118,123,17,Curry 17' Pullup Jump Shot (6 PTS) (Azubuike 1 AST),2010,1,1,0,0
20900015,4,PT02M25.00S,101.0,108.0,GSW,201939,S. Curry,Made Shot,Pullup Jump shot,Made,121,162,20,Curry 20' Pullup Jump Shot (8 PTS),2010,1,1,1,0
20900015,4,PT01M47.00S,103.0,108.0,GSW,201939,S. Curry,Made Shot,Pullup Jump shot,Made,-125,134,18,Curry 18' Pullup Jump Shot (10 PTS),2010,1,1,1,1
20900015,4,PT00M29.10S,105.0,108.0,GSW,201939,S. Curry,Made Shot,Layup Shot,Made,-7,1,1,Curry 1' Layup (12 PTS) (Ellis 5 AST),2010,1,1,1,1
20900015,4,PT00M00.90S,107.0,108.0,GSW,201939,S. Curry,Made Shot,Layup Shot,Made,-5,15,2,Curry 2' Layup (14 PTS),2010,1,1,1,1
20900030,2,PT01M00.00S,56.0,49.0,GSW,201939,S. Curry,Made Shot,Jump Shot,Made,-76,250,26,Curry 26' 3PT Jump Shot (7 PTS) (Biedrins 3 AST),2010,1,1,1,0
20900030,3,PT08M35.00S,0.0,0.0,GSW,201939,S. Curry,Missed Shot,Jump Shot,Missed,-158,-6,16,MISS Curry 16' Jump Shot,2010,0,1,1,1
20900030,3,PT02M57.00S,0.0,0.0,GSW,201939,S. Curry,Missed Shot,Layup Shot,Missed,0,0,0,MISS Curry  Layup,2010,0,0,1,1
20900030,4,PT10M14.00S,0.0,0.0,GSW,201939,S. Curry,Missed Shot,Layup Shot,Missed,0,0,0,MISS Curry  Layup,2010,0,0,0,1
20900030,4,PT09M06.00S,99.0,79.0,GSW,201939,S. Curry,Made Shot,Jump Bank Shot,Made,95,48,11,Curry 11' Jump Bank Shot (9 PTS),2010,1,0,0,0
20900030,4,PT07M23.00S,104.0,84.0,GSW,201939,S. Curry,Made Shot,Jump Shot,Made,1,247,25,Curry 25' 3PT Jump Shot (12 PTS),2010,1,1,0,0
20900069,1,PT00M55.90S,0.0,0.0,GSW,201939,S. Curry,Missed Shot,Jump Shot,Missed,56,14,6,MISS Curry 6' Jump Shot,2010,0,1,0,1
20900069,2,PT11M11.00S,0.0,0.0,GSW,201939,S. Curry,Missed Shot,Jump Shot,Missed,0,258,26,MISS Curry 26' 3PT Jump Shot,2010,0,0,1,0
20900069,3,PT04M54.00S,77.0,72.0,GSW,201939,S. Curry,Made Shot,Layup Shot,Made,-4,15,2,Curry 2' Layup (7 PTS) (Ellis 8 AST),2010,1,0,0,1
20900082,3,PT10M21.00S,47.0,63.0,GSW,201939,S. Curry,Made Shot,Driving Layup Shot,Made,-7,23,2,Curry 2' Driving Layup (2 PTS),2010,1,0,0,0
20900082,3,PT07M12.00S,,,GSW,201939,S. Curry,Missed Shot,Jump Shot,Missed,190,214,29,MISS Curry 29' 3PT Jump Shot,2010,0,1,0,0
